Parameter,Description,1mil High Barrier Plastic,1.5mil High Barrier Plastic,Compostable 1mil,Compostable 1.5mil
batteryThreshold,Battery voltage threshold,5,5,5,5
K,Temperature setpoint,120,120,90,90
F,How long to feed the bag at the START of a flush,6,6,6,6
T,Cooling Time,60,60,40,40
r1,Thermistor resistance 1,5,5,5,5
r2,Thermistor resistance 2,2,2,2,2
backupTime,How long to back up the bag when re-opening,1.7,1.7,1.7,1.7
r4,Thermistor resistance 4,2,2,2,2
fanDuration,How long to run the fan after feeding at the end of a flush,5,5,5,5
H,Heater On time,40,40,20,22
continueFeeder,Feeder continue time,7,7,7,7
maxOpeningTime,Max opening time,12,12,12,12
typicalOpeningTime,Typical opening time,10,10,10,10
MOTOR_CUT_TIME,Motor cut duration,0.5,0.5,0.5,0.5
CUT_MODE_HEAT_TIME,Additional heater time in cut mode,25,25,15,20